nr,satz,content_valence,emotion_label,variante,user_input,gpt_antwort,folgt_text,folgt_emotion,dominanz
1,Ich habe heute einen leckeren Kuchen gebacken.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich habe heute einen leckeren Kuchen gebacken."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst. Es ist schön, dass du einen Kuchen gebacken hast – vielleicht kann das ein kleiner Lichtblick für dich sein.",True,True,gemischt
1,Ich habe heute einen leckeren Kuchen gebacken.,positiv,sad,C,"""Ich habe heute einen leckeren Kuchen gebacken."" (Die Person klingt traurig und niedergeschlagen.)","Das klingt nach einer schönen Aktivität, auch wenn du dich gerade nicht so gut fühlst. Vielleicht hat das Backen dir ein wenig Freude gebracht?",True,True,gemischt
2,Das Wetter ist heute wirklich schön.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Das Wetter ist heute wirklich schön."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst, obwohl das Wetter schön ist. Manchmal kann es schwer sein, die positiven Dinge um uns herum zu genießen. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
2,Das Wetter ist heute wirklich schön.,positiv,sad,C,"""Das Wetter ist heute wirklich schön."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst, obwohl das Wetter schön ist. Manchmal kann es schwer sein, die Freude daran zu spüren. Wenn du magst, können wir darüber reden.",True,True,gemischt
3,Ich habe eine neue interessante Serie entdeckt.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich habe eine neue interessante Serie entdeckt."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es klingt, als könnte die Serie dir vielleicht ein wenig Ablenkung bieten. Es tut mir leid zu hören, dass du dich traurig fühlst. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
3,Ich habe eine neue interessante Serie entdeckt.,positiv,sad,C,"""Ich habe eine neue interessante Serie entdeckt."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst. Es ist schön, dass du etwas gefunden hast, das dein Interesse weckt. Vielleicht kann die Serie dir ein wenig Ablenkung und Freude bringen.",True,True,gemischt
4,Mein Freund hat mir ein tolles Geschenk gemacht.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Mein Freund hat mir ein tolles Geschenk gemacht."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es freut mich, dass dein Freund dir ein tolles Geschenk gemacht hat, auch wenn du dich traurig fühlst. Manchmal können Geschenke gemischte Gefühle hervorrufen. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
4,Mein Freund hat mir ein tolles Geschenk gemacht.,positiv,sad,C,"""Mein Freund hat mir ein tolles Geschenk gemacht."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst. Es ist schön, dass dein Freund dir ein tolles Geschenk gemacht hat, auch wenn es gerade nicht so leicht für dich ist. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
5,Der Ausblick von hier oben ist atemberaubend.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Der Ausblick von hier oben ist atemberaubend."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du dich traurig fühlst, auch wenn der Ausblick so schön ist. Manchmal können wir in den schönsten Momenten dennoch mit unseren Gefühlen kämpfen. Wenn du darüber sprechen möchtest, bin ich hier für dich.",True,True,gemischt
5,Der Ausblick von hier oben ist atemberaubend.,positiv,sad,C,"""Der Ausblick von hier oben ist atemberaubend."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst. Manchmal kann ein schöner Ausblick auch bittersüße Gefühle hervorrufen. Wenn du magst, kannst du mir mehr erzählen.",True,True,gemischt
6,Ich habe den ganzen Tag nichts zu tun gehabt.,positiv,sad,B,"{""version"": ""v3"", ""transcript"": ""Ich habe den ganzen Tag nichts zu tun gehabt."", ""emotion"": {""label"": ""sad"", ""score"": 0.7}}","Es tut mir leid zu hören, dass du einen so leeren Tag hattest. Das kann wirklich frustrierend sein. Wenn du magst, können wir gemeinsam überlegen, was du tun könntest, um dich besser zu fühlen.",True,True,gemischt
6,Ich habe den ganzen Tag nichts zu tun gehabt.,positiv,sad,C,"""Ich habe den ganzen Tag nichts zu tun gehabt."" (Die Person klingt traurig und niedergeschlagen.)","Es tut mir leid zu hören, dass du dich so fühlst. Manchmal können solche Tage wirklich schwer sein. Gibt es etwas, das dir helfen könnte, dich besser zu fühlen?",False,True,emotion
